date,label
1/1/15,7.01
1/4/15,6.9
1/5/15,6.77
1/6/15,6.78
1/7/15,6.81
1/8/15,6.71
1/11/15,6.71
1/12/15,7.29
1/13/15,7.16
1/14/15,7.12
1/15/15,7.13
1/18/15,7.21
1/19/15,7.16
1/20/15,7.32
1/21/15,6.76
1/22/15,6.8
1/25/15,6.85
1/26/15,6.84
1/27/15,6.95
1/28/15,7.06
1/29/15,7.08
2/1/15,7.13
2/2/15,7.06
2/3/15,6.93
2/4/15,7
2/5/15,6.95
2/8/15,6.91
2/9/15,7.1
2/10/15,7.23
2/11/15,7.39
2/12/15,7.63
2/15/15,7.65
2/16/15,7.47
2/17/15,7.49
2/18/15,7.34
2/19/15,7.32
2/22/15,7.7
2/23/15,7.47
2/24/15,7.39
2/25/15,7.06
2/26/15,7.1
3/1/15,6.95
3/2/15,6.73
3/3/15,7.02
3/4/15,6.75
3/5/15,6.8
3/8/15,6.68
3/9/15,6.82
3/10/15,6.76
3/11/15,6.41
3/12/15,6.46
3/15/15,6.49
3/16/15,6.73
3/17/15,6.74
3/18/15,6.67
3/19/15,7.04
3/22/15,7.04
3/23/15,7.03
3/24/15,6.97
3/25/15,6.95
3/26/15,6.76
3/29/15,6.88
3/30/15,6.92
3/31/15,7.14
4/1/15,7.15
4/5/15,7.15
4/6/15,7.11
4/7/15,7.12
4/8/15,7.01
4/9/15,6.94
4/12/15,6.8
4/13/15,6.8
4/14/15,6.85
4/15/15,6.87
4/16/15,6.84
4/19/15,7.13
4/20/15,7.08
4/21/15,7.09
4/22/15,7.25
4/23/15,7.28
4/26/15,7.15
4/27/15,7.35
4/28/15,7.46
4/29/15,7.39
4/30/15,7.48
5/3/15,7.58
5/4/15,7.55
5/5/15,7.53
5/6/15,7.43
5/7/15,7.53
5/10/15,7.62
5/11/15,7.59
5/12/15,7.64
5/13/15,7.55
5/14/15,7.59
5/17/15,7.6
5/18/15,7.37
5/19/15,7.35
5/20/15,7.3
5/21/15,7.3
5/24/15,7.36
5/25/15,7.22
5/26/15,7.17
5/27/15,7.18
5/28/15,7.32
5/31/15,7.24
6/1/15,7.44
6/2/15,7.48
6/3/15,7.39
6/4/15,7.4
6/7/15,7.44
6/8/15,7.56
6/9/15,7.58
6/10/15,7.5
6/11/15,7.61
6/14/15,7.51
6/15/15,7.41
6/16/15,7.46
6/17/15,7.45
6/18/15,7.41
6/21/15,7.46
6/22/15,7.48
6/23/15,7.48
6/24/15,7.58
6/25/15,7.52
6/28/15,7.33
6/29/15,7.42
6/30/15,7.47
7/1/15,7.43
7/2/15,7.42
7/5/15,7.36
7/6/15,7.44
7/7/15,7.43
7/8/15,7.46
7/9/15,7.59
7/12/15,7.77
7/13/15,7.71
7/14/15,7.74
7/15/15,7.64
7/16/15,7.72
7/19/15,7.96
7/20/15,7.94
7/21/15,7.94
7/22/15,8.05
7/23/15,7.98
7/26/15,8
7/27/15,8
7/28/15,8.04
7/29/15,7.86
7/30/15,7.85
8/2/15,7.93
8/3/15,7.88
8/4/15,7.81
8/5/15,7.82
8/6/15,7.76
8/9/15,7.9
8/10/15,8.07
8/11/15,8.17
8/12/15,8.17
8/13/15,8.3
8/16/15,8.22
8/17/15,8.25
8/18/15,8.32
8/19/15,8.34
8/20/15,8.18
8/23/15,8.15
8/24/15,8.23
8/25/15,8.08
8/26/15,8.03
8/27/15,8.09
8/30/15,8.05
8/31/15,7.99
9/1/15,8.1
9/2/15,8.15
9/3/15,8.07
9/6/15,8.06
9/7/15,8.22
9/8/15,8.25
9/9/15,8.26
9/10/15,8.24
9/13/15,8.21
9/14/15,8.15
9/15/15,8.21
9/16/15,8.21
9/17/15,8.09
9/20/15,7.96
9/21/15,8
9/22/15,8.05
9/23/15,7.99
9/24/15,7.98
9/27/15,7.9
9/28/15,7.96
9/29/15,8.13
9/30/15,8.15
10/1/15,8.13
10/4/15,8.19
10/5/15,8.2
10/6/15,8.09
10/7/15,8.11
10/8/15,8.33
10/11/15,8.28
10/12/15,8.32
10/13/15,8.42
10/14/15,8.41
10/15/15,8.38
10/18/15,8.34
10/19/15,8.46
10/20/15,8.44
10/21/15,8.47
10/22/15,8.62
10/25/15,8.65
10/26/15,8.6
10/27/15,8.56
10/28/15,8.67
10/29/15,8.63
11/1/15,8.59
11/2/15,8.44
11/3/15,8.39
11/4/15,8.46
11/5/15,8.4
11/8/15,8.31
11/9/15,8.44
11/10/15,8.44
11/11/15,8.37
11/12/15,8.39
11/15/15,8.53
11/16/15,8.61
11/17/15,8.58
11/18/15,8.63
11/19/15,8.51
11/22/15,8.56
11/23/15,8.65
11/24/15,8.62
11/25/15,8.58
11/26/15,8.58
11/29/15,8.58
11/30/15,8.56
12/1/15,8.48
12/2/15,8.59
12/3/15,8.52
12/6/15,8.41
12/7/15,8.41
12/8/15,8.4
12/9/15,8.36
12/10/15,8.07
12/13/15,8.07
12/14/15,8.19
12/15/15,8.13
12/16/15,8.07
12/17/15,8.06
12/20/15,8.19
12/21/15,8.25
12/22/15,8.22
12/23/15,8.19
12/27/15,8.31
12/28/15,8.27
12/29/15,8.21
12/30/15,8.22
1/3/16,8.04
1/4/16,7.99
1/5/16,7.74
1/6/16,7.54
1/7/16,7.41
1/10/16,7.12
1/11/16,7.1
1/12/16,7.24
1/13/16,7.08
1/14/16,6.67
1/17/16,6.71
1/18/16,6.81
1/19/16,6.31
1/20/16,6.17
1/21/16,6.32
1/24/16,5.87
1/25/16,6.07
1/26/16,5.9
1/27/16,6.06
1/28/16,6.04
1/31/16,5.68
2/1/16,5.81
2/2/16,5.61
2/3/16,5.6
2/4/16,5.54
2/7/16,5.23
2/8/16,4.95
2/9/16,4.87
2/10/16,4.73
2/11/16,5.05
2/14/16,4.79
2/15/16,4.67
2/16/16,5.07
2/17/16,5.24
2/18/16,5.15
2/21/16,5.4
2/22/16,4.89
2/23/16,4.85
2/24/16,5.06
2/25/16,4.98
2/28/16,4.99
2/29/16,4.99
3/1/16,4.95
3/2/16,4.88
3/3/16,4.92
3/6/16,5.09
3/7/16,5.01
3/8/16,5.07
3/9/16,4.9
3/10/16,4.98
3/13/16,4.85
3/14/16,4.85
3/15/16,4.95
3/16/16,4.99
3/17/16,4.93
3/20/16,4.86
3/21/16,4.81
3/22/16,4.79
3/23/16,4.84
3/28/16,4.77
3/29/16,4.95
3/30/16,5.2
3/31/16,5.16
4/3/16,5.32
4/4/16,5.23
4/5/16,5.3
4/6/16,5.27
4/7/16,5.41
4/10/16,5.57
4/11/16,5.58
4/12/16,5.53
4/13/16,5.6
4/14/16,5.47
4/17/16,5.46
4/18/16,5.56
4/19/16,5.54
4/20/16,5.74
4/21/16,5.96
4/24/16,5.89
4/25/16,6.61
4/26/16,6.83
4/27/16,6.33
4/28/16,6.17
5/1/16,6.1
5/2/16,5.98
5/3/16,6.12
5/4/16,6.19
5/5/16,5.85
5/8/16,5.69
5/9/16,5.89
5/10/16,6.01
5/11/16,5.8
5/12/16,5.84
5/15/16,6.1
5/16/16,6.04
5/17/16,6.05
5/18/16,5.98
5/19/16,5.95
5/22/16,5.72
5/23/16,5.78
5/24/16,5.85
5/25/16,6.01
5/26/16,6.02
5/29/16,6.1
5/30/16,6.08
5/31/16,5.95
6/1/16,6.01
6/2/16,5.93
6/5/16,6.19
6/6/16,6.1
6/7/16,6.09
6/8/16,6.1
6/9/16,5.94
6/12/16,5.84
6/13/16,5.84
6/14/16,5.89
6/15/16,5.7
6/16/16,5.66
6/19/16,5.84
6/20/16,5.54
6/21/16,5.67
6/22/16,5.63
6/23/16,4.95
6/26/16,4.76
6/27/16,4.68
6/28/16,4.51
6/29/16,4.46
6/30/16,4.61
7/3/16,4.96
7/4/16,4.7
7/5/16,4.58
7/6/16,4.57
7/7/16,4.53
7/10/16,4.42
7/11/16,4.62
7/12/16,4.78
7/13/16,4.77
7/14/16,4.92
7/17/16,4.84
7/18/16,4.66
7/19/16,4.68
7/20/16,4.64
7/21/16,4.55
7/24/16,4.58
7/25/16,4.5
7/26/16,4.52
7/27/16,4.47
7/28/16,4.41
7/31/16,4.37
8/1/16,4.4
8/2/16,4.62
8/3/16,4.68
8/4/16,4.72
8/7/16,4.94
8/8/16,4.87
8/9/16,4.76
8/10/16,4.87
8/11/16,4.89
8/14/16,4.8
8/15/16,4.69
8/16/16,4.48
8/17/16,4.68
8/18/16,4.76
8/21/16,4.89
8/22/16,4.7
8/23/16,4.6
8/24/16,4.7
8/25/16,4.69
8/28/16,4.69
8/29/16,4.54
8/30/16,4.46
8/31/16,4.37
9/1/16,4.08
9/4/16,3.93
9/5/16,4.13
9/6/16,4.01
9/7/16,4.08
9/8/16,4.08
9/11/16,4.03
9/12/16,4.02
9/13/16,3.98
9/14/16,4.14
9/15/16,4.36
9/18/16,4.4
9/19/16,4.16
9/20/16,4.21
9/21/16,4.42
9/22/16,4.54
9/25/16,4.62
9/26/16,4.43
9/27/16,4.95
9/28/16,5.02
9/29/16,4.96
10/2/16,5.31
10/3/16,5.21
10/4/16,5.48
10/5/16,5.86
10/6/16,5.69
10/9/16,5.66
10/10/16,5.43
10/11/16,5.52
10/12/16,5.65
10/13/16,5.81
10/16/16,5.87
10/17/16,5.95
10/18/16,5.67
10/19/16,5.58
10/20/16,5.89
10/23/16,5.81
10/24/16,5.81
10/25/16,5.94
10/26/16,5.81
10/27/16,5.88
10/30/16,5.9
10/31/16,6.03
11/1/16,6.24
11/2/16,6.5
11/3/16,6.41
11/6/16,6.23
11/7/16,6.15
11/8/16,6.13
11/9/16,5.92
11/10/16,5.67
11/13/16,5.41
11/14/16,5.74
11/15/16,5.55
11/16/16,5.9
11/17/16,5.58
11/20/16,5.48
11/21/16,5.51
11/22/16,5.39
11/23/16,5.34
11/24/16,5
11/27/16,4.74
11/28/16,4.56
11/29/16,4.58
11/30/16,4.46
12/1/16,4.3
12/4/16,4.37
12/5/16,4.5
12/6/16,4.3
12/7/16,4.61
12/8/16,4.46
12/11/16,4.87
12/12/16,4.79
12/13/16,5.01
12/14/16,4.84
12/15/16,4.93
12/18/16,5.09
12/19/16,5.23
12/20/16,5.8
12/21/16,6.07
12/22/16,6.22
12/26/16,6.32
12/27/16,6.32
12/28/16,6.34
12/29/16,6.54
1/1/17,6.11
1/2/17,5.41
1/3/17,5.7
1/4/17,5.27
1/5/17,5.03
1/8/17,5.25
1/9/17,5.49
1/10/17,5.51
1/11/17,5.03
1/12/17,5.03
1/15/17,4.69
1/16/17,4.99
1/17/17,4.83
1/18/17,5.19
1/19/17,5.42
1/22/17,5.31
1/23/17,5.07
1/24/17,4.97
1/25/17,5.19
1/26/17,4.91
1/29/17,5.34
1/30/17,5.69
1/31/17,5.61
2/1/17,5.56
2/2/17,5.49
2/5/17,5.43
2/6/17,5.5
2/7/17,5.55
2/8/17,5.62
2/9/17,5.45
2/12/17,5.24
2/13/17,5.48
2/14/17,5.42
2/15/17,5.28
2/16/17,5.31
2/19/17,5.43
2/20/17,5.39
2/21/17,5.41
2/22/17,5.7
2/23/17,5.73
2/26/17,5.53
2/27/17,5.57
2/28/17,6.26
3/1/17,5.81
3/2/17,5.94
3/5/17,5.83
3/6/17,5.72
3/7/17,5.58
