date,label
1/3/2015,6.71
1/10/2015,7.13
1/17/2015,6.8
1/24/2015,7.08
1/31/2015,6.95
2/7/2015,7.63
2/14/2015,7.32
2/21/2015,7.1
2/28/2015,6.8
3/7/2015,6.46
3/14/2015,7.04
3/21/2015,6.76
3/28/2015,7.15
4/4/2015,6.94
4/11/2015,6.84
4/18/2015,7.28
4/25/2015,7.48
5/2/2015,7.53
5/9/2015,7.59
5/16/2015,7.3
5/23/2015,7.32
5/30/2015,7.4
6/6/2015,7.61
6/13/2015,7.41
6/20/2015,7.52
6/27/2015,7.42
7/4/2015,7.59
7/11/2015,7.72
7/18/2015,7.98
7/25/2015,7.85
8/1/2015,7.76
8/8/2015,8.3
8/15/2015,8.18
8/22/2015,8.09
8/29/2015,8.07
9/5/2015,8.24
9/12/2015,8.09
9/19/2015,7.98
9/26/2015,8.13
10/3/2015,8.33
10/10/2015,8.38
10/17/2015,8.62
10/24/2015,8.63
10/31/2015,8.4
11/7/2015,8.39
11/14/2015,8.51
11/21/2015,8.58
11/28/2015,8.52
12/5/2015,8.07
12/12/2015,8.06
12/19/2015,8.19
12/26/2015,8.22
1/2/2016,7.41
1/9/2016,6.67
1/16/2016,6.32
1/23/2016,6.04
1/30/2016,5.54
2/6/2016,5.05
2/13/2016,5.15
2/20/2016,4.98
2/27/2016,4.92
3/5/2016,4.98
3/12/2016,4.93
3/19/2016,4.84
3/26/2016,5.16
4/2/2016,5.41
4/9/2016,5.47
4/16/2016,5.96
4/23/2016,6.17
4/30/2016,5.85
5/7/2016,5.84
5/14/2016,5.95
5/21/2016,6.02
5/28/2016,5.93
6/4/2016,5.94
6/11/2016,5.66
6/18/2016,4.95
6/25/2016,4.61
7/2/2016,4.53
7/9/2016,4.92
7/16/2016,4.55
7/23/2016,4.41
7/30/2016,4.72
8/6/2016,4.89
8/13/2016,4.76
8/20/2016,4.69
8/27/2016,4.08
9/3/2016,4.08
9/10/2016,4.36
9/17/2016,4.54
9/24/2016,4.96
10/1/2016,5.69
10/8/2016,5.81
10/15/2016,5.89
10/22/2016,5.88
10/29/2016,6.41
11/5/2016,5.67
11/12/2016,5.58
11/19/2016,5
11/26/2016,4.3
12/3/2016,4.46
12/10/2016,4.93
12/17/2016,6.22
12/24/2016,6.54
12/31/2016,5.03
1/7/2017,5.03
1/14/2017,5.42
1/21/2017,4.91
1/28/2017,5.49
2/4/2017,5.45
2/11/2017,5.31
2/18/2017,5.73
2/25/2017,5.94
3/4/2017,5.51
3/11/2017,5.48
3/18/2017,5.11
3/25/2017,5.04
4/1/2017,5.25
4/8/2017,5.32
4/15/2017,4.94
4/22/2017,4.94
4/29/2017,4.94
5/6/2017,4.83
5/13/2017,5.22
5/20/2017,5.58
5/27/2017,5.54
6/3/2017,5.42
6/10/2017,5.26
6/17/2017,5.25
6/24/2017,5.42
7/1/2017,5.74
7/8/2017,5.82
7/15/2017,5.6
7/22/2017,5.69
7/29/2017,5.86
8/5/2017,5.99
8/12/2017,6.41
8/19/2017,6.69
8/26/2017,6.43
9/2/2017,7.56
9/9/2017,7.44
9/16/2017,7.14
9/23/2017,7.59
9/30/2017,7.52
10/7/2017,7.78
10/14/2017,8
