date,label,global_clean_index
2015-01-03,6.71,
2015-01-10,7.13,626.91
2015-01-17,6.8,619.63
2015-01-24,7.08,619.2139999999999
2015-01-31,6.95,618.8340000000001
2015-02-07,7.63,645.03
2015-02-14,7.32,664.746
2015-02-21,7.1,674.562
2015-02-28,6.8,680.768
2015-03-07,6.46,692.966
2015-03-14,7.04,736.5319999999999
2015-03-21,6.76,728.436
2015-03-28,7.15,737.7860000000001
2015-04-04,6.94,749.52
2015-04-11,6.84,765.02
2015-04-18,7.28,786.862
2015-04-25,7.48,803.366
2015-05-02,7.53,802.982
2015-05-09,7.59,802.462
2015-05-16,7.3,795.642
2015-05-23,7.32,808.082
2015-05-30,7.4,794.156
2015-06-06,7.61,775.708
2015-06-13,7.41,765.5840000000001
2015-06-20,7.52,748.242
2015-06-27,7.42,746.4979999999999
2015-07-04,7.59,751.454
2015-07-11,7.72,720.824
2015-07-18,7.98,689.594
2015-07-25,7.85,718.2520000000001
2015-08-01,7.76,699.744
2015-08-08,8.3,674.85
2015-08-15,8.18,670.524
2015-08-22,8.09,659.55
2015-08-29,8.07,635.7180000000001
2015-09-05,8.24,595.542
2015-09-12,8.09,592.4739999999999
2015-09-19,7.98,596.478
2015-09-26,8.13,602.77
2015-10-03,8.33,581.8979999999999
2015-10-10,8.38,577.5225
2015-10-17,8.62,627.496
2015-10-24,8.63,638.494
2015-10-31,8.4,638.51
2015-11-07,8.39,627.508
2015-11-14,8.51,629.7239999999999
2015-11-21,8.58,605.208
2015-11-28,8.52,593.8879999999999
2015-12-05,8.07,598.524
2015-12-12,8.06,607.12
2015-12-19,8.19,595.934
2015-12-26,8.22,615.4559999999999
2016-01-02,7.41,628.458
2016-01-09,6.67,626.8975
2016-01-16,6.32,603.794
2016-01-23,6.04,555.242
2016-01-30,5.54,522.244
2016-02-06,5.05,534.9159999999999
2016-02-13,5.15,543.028
2016-02-20,4.98,506.366
2016-02-27,4.92,517.812
2016-03-05,4.98,530.486
2016-03-12,4.93,551.798
2016-03-19,4.84,569.196
2016-03-26,5.16,581.9399999999999
2016-04-02,5.41,579.6659999999999
2016-04-09,5.47,582.524
2016-04-16,5.96,570.7139999999999
2016-04-23,6.17,583.9100000000001
2016-04-30,5.85,589.0899999999999
2016-05-07,5.84,584.952
2016-05-14,5.95,558.588
2016-05-21,6.02,549.2059999999999
2016-05-28,5.93,539.674
2016-06-04,5.94,544.4939999999999
2016-06-11,5.66,554.112
2016-06-18,4.95,562.315
2016-06-25,4.61,528.418
2016-07-02,4.53,546.682
2016-07-09,4.92,544.824
2016-07-16,4.55,557.388
2016-07-23,4.41,574.13
2016-07-30,4.72,578.4399999999999
2016-08-06,4.89,581.332
2016-08-13,4.76,583.0360000000001
2016-08-20,4.69,586.184
2016-08-27,4.08,589.7
2016-09-03,4.08,591.97
2016-09-10,4.36,587.088
2016-09-17,4.54,604.2280000000001
2016-09-24,4.96,578.204
2016-10-01,5.69,587.604
2016-10-08,5.81,585.048
2016-10-15,5.89,576.35
2016-10-22,5.88,568.494
2016-10-29,6.41,573.6600000000001
2016-11-05,5.67,563.796
2016-11-12,5.58,541.712
2016-11-19,5.0,521.37
2016-11-26,4.3,499.238
2016-12-03,4.46,504.426
2016-12-10,4.93,505.09800000000007
2016-12-17,6.22,507.956
2016-12-24,6.54,504.7
2016-12-31,5.03,499.866
2017-01-07,5.03,503.524
2017-01-14,5.42,516.156
2017-01-21,4.91,526.1220000000001
2017-01-28,5.49,531.226
2017-02-04,5.45,532.0
2017-02-11,5.31,531.7560000000001
2017-02-18,5.73,535.72
2017-02-25,5.94,553.558
2017-03-04,5.51,559.618
2017-03-11,5.48,553.3059999999999
2017-03-18,5.11,548.5
2017-03-25,5.04,553.5
2017-04-01,5.25,544.952
2017-04-08,5.32,544.268
2017-04-15,4.94,542.8620000000001
2017-04-22,4.94,542.1020000000001
2017-04-29,4.94,539.432
2017-05-06,4.83,540.9979999999999
2017-05-13,5.22,546.818
2017-05-20,5.58,549.2479999999999
2017-05-27,5.54,547.082
2017-06-03,5.42,548.6360000000001
2017-06-10,5.26,549.542
2017-06-17,5.25,546.204
2017-06-24,5.42,539.434
2017-07-01,5.74,540.178
2017-07-08,5.82,547.6659999999999
2017-07-15,5.6,546.698
2017-07-22,5.69,553.4739999999999
2017-07-29,5.86,571.8
2017-08-05,5.99,575.618
2017-08-12,6.41,579.278
2017-08-19,6.69,580.594
2017-08-26,6.43,577.542
2017-09-02,7.56,575.0559999999999
2017-09-09,7.44,580.182
2017-09-16,7.14,581.0675
2017-09-23,7.59,586.132
2017-09-30,7.52,585.882
2017-10-07,7.78,571.85
2017-10-14,8.0,578.818
