date,coal price
1/14/2020,52.2
1/15/2020,51.8
1/16/2020,51
1/17/2020,50.5
1/20/2020,49.75
1/21/2020,50.6
1/22/2020,50.25
1/23/2020,50.4
1/24/2020,50.25
1/27/2020,50.35
1/28/2020,50.35
1/29/2020,50.15
1/30/2020,50.45
1/31/2020,50.35
2/3/2020,47.7
2/4/2020,48.9
2/5/2020,49.45
2/6/2020,48.9
2/7/2020,48.2
2/10/2020,47.5
2/11/2020,48
2/12/2020,48.75
2/13/2020,49.9
2/14/2020,50.3
2/17/2020,50.55
2/18/2020,49.7
2/19/2020,49.3
2/20/2020,48.4
2/21/2020,48.3
2/24/2020,48
2/25/2020,48.15
2/26/2020,48
2/27/2020,47.9
2/28/2020,46.65
3/2/2020,46.85
3/3/2020,46.95
3/4/2020,47.3
3/5/2020,47.8
3/6/2020,47.4
3/9/2020,46.4
3/10/2020,46.4
3/11/2020,46.5
3/12/2020,45.8
3/13/2020,46.55
3/16/2020,46.5
3/17/2020,47.1
3/18/2020,47.8
3/19/2020,46.9
3/20/2020,47.5
3/23/2020,47.4
3/24/2020,47.65
3/25/2020,48.25
3/26/2020,47.95
3/27/2020,52.6
3/30/2020,50.75
3/31/2020,49.3
4/1/2020,48.1
4/2/2020,47.45
4/3/2020,46.1
4/6/2020,46.3
4/7/2020,47.05
4/8/2020,46.6
4/9/2020,46.8
4/13/2020,46.7
4/14/2020,45.75
4/15/2020,45.3
4/16/2020,45.5
4/17/2020,45.4
4/20/2020,45.55
4/21/2020,45.45
4/22/2020,45.15
4/23/2020,44.9
4/24/2020,41.1
4/27/2020,39.1
4/28/2020,38.45
4/29/2020,39
4/30/2020,39.85
5/1/2020,39.5
5/4/2020,39
5/5/2020,39.6
5/6/2020,40
5/7/2020,40.2
5/8/2020,40
5/11/2020,39.9
5/12/2020,39.7
5/13/2020,39.35
5/14/2020,39.1
5/15/2020,38.75
5/18/2020,38.85
5/19/2020,38.85
5/20/2020,38.8
5/21/2020,38.75
5/22/2020,38.65
5/25/2020,38.75
5/26/2020,38.6
5/27/2020,38.7
5/28/2020,38.8
5/29/2020,42.1
6/1/2020,44.85
6/2/2020,46.75
6/3/2020,46.6
6/4/2020,45.7
6/5/2020,46.2
6/8/2020,45.95
6/9/2020,45.6
6/10/2020,44.95
6/11/2020,44.35
6/12/2020,44.5
6/15/2020,45
6/16/2020,44.8
6/17/2020,44.6
6/18/2020,44.7
6/19/2020,45
6/22/2020,45.6
6/23/2020,44.85
6/24/2020,45.25
6/25/2020,45.25
6/26/2020,49.45
6/29/2020,50.05
6/30/2020,49.85
7/1/2020,49.95
7/2/2020,51.05
7/3/2020,50.9
7/6/2020,51.2
7/7/2020,50.65
7/8/2020,49.5
7/9/2020,49.3
7/10/2020,48.7
7/13/2020,48.8
7/14/2020,48.65
7/15/2020,49
7/16/2020,49
7/17/2020,49.25
7/20/2020,49.05
7/21/2020,49.6
7/22/2020,49.7
7/23/2020,49.6
7/24/2020,49.55
7/27/2020,49.5
7/28/2020,49.7
7/29/2020,49.7
7/30/2020,49.85
7/31/2020,51.9
8/3/2020,51.7
8/4/2020,51.6
8/5/2020,51.3
8/6/2020,50.2
8/7/2020,50.8
8/10/2020,50.55
8/11/2020,50.3
8/12/2020,49.7
8/13/2020,49.5
8/14/2020,49.25
8/17/2020,49.4
8/18/2020,49.35
8/19/2020,49.15
8/20/2020,48.9
8/21/2020,48.65
8/24/2020,48.8
8/25/2020,48.9
8/26/2020,48.95
8/27/2020,48.9
8/28/2020,52.2
8/31/2020,52.9
9/1/2020,52.7
9/2/2020,51.5
9/3/2020,51.5
9/4/2020,51.4
9/7/2020,51
9/8/2020,51.2
9/9/2020,51.2
9/10/2020,51.7
9/11/2020,51.7
9/14/2020,51.7
9/15/2020,51.8
9/16/2020,51.9
9/17/2020,51.9
9/18/2020,52
9/21/2020,52.1
9/22/2020,52.1
9/23/2020,52.15
9/24/2020,52.25
9/25/2020,55.95
9/28/2020,57.2
9/29/2020,57.05
9/30/2020,57.2
10/1/2020,57.35
10/2/2020,56.4
10/5/2020,57.7
10/6/2020,57.7
10/7/2020,57.65
10/8/2020,57.7
10/9/2020,57.6
10/12/2020,56.85
10/13/2020,56.5
10/14/2020,56.6
10/15/2020,56.8
10/16/2020,57
10/19/2020,57.1
10/20/2020,57.1
10/21/2020,56.5
10/22/2020,56.75
10/23/2020,56.7
10/26/2020,56.7
10/27/2020,56.55
10/28/2020,56.5
10/29/2020,56.1
10/30/2020,51.8
11/2/2020,50.9
11/3/2020,51.05
11/4/2020,50.85
11/5/2020,51.4
11/6/2020,50.8
11/9/2020,51.05
12/9/2020,63.3
12/10/2020,64
12/11/2020,65
12/14/2020,65.4
12/15/2020,65.8
12/16/2020,65.6
12/17/2020,65.65
12/18/2020,66
12/21/2020,66.1
12/22/2020,66.1
12/23/2020,66.05
12/24/2020,66.1
12/31/2020,69
1/4/2021,69.3
1/5/2021,64.9
1/6/2021,64.25
1/7/2021,66.6
1/8/2021,68.5
1/11/2021,68.5
1/12/2021,70.5
1/13/2021,70.15
1/14/2021,69.9
1/15/2021,68.6
1/18/2021,67.25
1/19/2021,67.5
1/20/2021,67.5
1/21/2021,67.55
1/22/2021,67.5
1/25/2021,67.45
1/26/2021,67.65
1/27/2021,67.7
1/28/2021,67.8
1/29/2021,69.4
2/1/2021,65.6
2/2/2021,65.4
2/3/2021,63.75
2/4/2021,65
2/5/2021,66.45
2/8/2021,68.25
2/9/2021,68.6
2/10/2021,68
2/11/2021,67.35
2/12/2021,67
2/15/2021,65.3
2/16/2021,65.6
2/17/2021,65.35
2/18/2021,65.55
2/19/2021,65.95
2/22/2021,65.95
2/23/2021,65.9
2/24/2021,65.7
2/25/2021,65.8
2/26/2021,65.25
3/1/2021,65.4
3/2/2021,66.15
3/3/2021,65.7
3/4/2021,65.2
3/5/2021,65.25
3/8/2021,65.5
3/9/2021,66
3/10/2021,65.8
3/11/2021,65.8
3/12/2021,66.05
3/15/2021,66.35
3/16/2021,66.3
3/17/2021,67.55
3/18/2021,68.1
3/19/2021,68.45
3/22/2021,68.5
3/23/2021,68.5
3/24/2021,68.5
3/25/2021,68.5
3/26/2021,70.9
3/29/2021,70.6
3/30/2021,70
3/31/2021,70.05
4/1/2021,70.2
4/5/2021,70.2
4/6/2021,70.3
4/7/2021,68.8
4/8/2021,67.2
4/9/2021,67.55
4/12/2021,68.35
4/13/2021,68.85
4/14/2021,69.15
4/15/2021,70.2
4/16/2021,71.6
4/19/2021,71.5
4/20/2021,71.5
4/21/2021,71.5
4/22/2021,71.8
4/23/2021,71.8
4/26/2021,71.7
4/27/2021,71.85
4/28/2021,71.75
4/29/2021,71.9
4/30/2021,77.45
5/3/2021,78.65
5/4/2021,78.5
5/5/2021,80.05
5/6/2021,81.55
5/7/2021,82.5
5/10/2021,83.8
5/11/2021,84.8
5/12/2021,85.85
5/13/2021,85.7
5/14/2021,85.4
5/17/2021,84.5
5/18/2021,84.6
5/19/2021,84
5/20/2021,84.75
5/21/2021,85.2
5/24/2021,85.5
5/25/2021,85.75
5/26/2021,85.65
5/27/2021,85.75
5/28/2021,85.75
6/1/2021,95.8
6/2/2021,96.4
6/3/2021,100.5
6/4/2021,101.25
6/7/2021,106
6/8/2021,105.75
6/9/2021,108.25
6/10/2021,110
6/11/2021,110
6/14/2021,109
6/15/2021,108
6/16/2021,108
6/17/2021,107.8
6/18/2021,107.75
6/21/2021,107
6/22/2021,107.25
6/23/2021,108
6/24/2021,108.25
6/25/2021,115.5
6/28/2021,113.15
6/29/2021,115.05
6/30/2021,120.75
7/1/2021,122.25
7/2/2021,123.6
7/5/2021,127.25
7/6/2021,123.8
7/7/2021,124.65
7/8/2021,125.5
7/9/2021,126.8
7/12/2021,126.65
7/13/2021,131.1
7/14/2021,131.75
7/15/2021,132
7/16/2021,132.6
7/19/2021,133.1
7/20/2021,132.1
7/21/2021,132.6
