date,label
1/14/2020,25.04
1/15/2020,25.37
1/16/2020,25.97
1/19/2020,25.7
1/20/2020,25.45
1/21/2020,25.55
1/22/2020,25.21
1/23/2020,24.87
1/26/2020,25.05
1/27/2020,25.1
1/28/2020,24.43
1/29/2020,24.17
1/30/2020,24.31
2/2/2020,23.63
2/3/2020,23.78
2/4/2020,24.19
2/5/2020,23.98
2/6/2020,23.75
2/9/2020,23.58
2/10/2020,23.74
2/11/2020,24.31
2/12/2020,24.82
2/13/2020,24.71
2/16/2020,25.47
2/17/2020,25.56
2/18/2020,26.13
2/19/2020,26.06
2/20/2020,26.03
2/23/2020,25
2/24/2020,24.62
2/25/2020,24.69
2/26/2020,24.02
2/27/2020,24.02
3/1/2020,23.93
3/2/2020,23.77
3/3/2020,24.24
3/4/2020,24.21
3/5/2020,23.83
3/8/2020,23.68
3/9/2020,24.5
3/10/2020,24.34
3/11/2020,22.96
3/12/2020,22.38
3/15/2020,19.98
3/16/2020,19.05
3/17/2020,16.12
3/18/2020,17.19
3/19/2020,16.84
3/22/2020,16.28
3/23/2020,17.5
3/24/2020,18.21
3/25/2020,18.06
3/26/2020,17.11
3/29/2020,17.78
3/30/2020,18.42
3/31/2020,17.84
4/1/2020,18.82
4/2/2020,18.73
4/5/2020,21.17
4/6/2020,21.3
4/7/2020,21.93
4/8/2020,21.86
4/13/2020,20.57
4/14/2020,20.02
4/15/2020,21.69
4/16/2020,22.48
4/19/2020,22.15
4/20/2020,20.64
4/21/2020,21.45
4/22/2020,21.82
4/23/2020,21.53
4/26/2020,21.09
4/27/2020,21.04
4/28/2020,21
4/29/2020,20.39
4/30/2020,19.8
5/3/2020,20.18
5/4/2020,19.92
5/5/2020,19.83
5/6/2020,20.35
5/7/2020,20.17
5/10/2020,19.86
5/11/2020,19.31
5/12/2020,19.46
5/13/2020,19.62
5/14/2020,19.96
5/17/2020,21.14
5/18/2020,20.76
5/19/2020,22.06
5/20/2020,21.97
5/21/2020,22.19
5/24/2020,22.38
5/25/2020,22.4
5/26/2020,22.13
5/27/2020,22.04
