date,production volume in industry
1/1/2015,93.4
2/1/2015,95.7
3/1/2015,95.9
4/1/2015,95.2
5/1/2015,95.9
6/1/2015,96.1
7/1/2015,96.7
8/1/2015,95.4
9/1/2015,95.9
10/1/2015,96.1
11/1/2015,95.6
12/1/2015,95.6
1/1/2016,97.4
2/1/2016,96.1
3/1/2016,95.5
4/1/2016,97
5/1/2016,95.5
6/1/2016,96.3
7/1/2016,96.1
8/1/2016,96.2
9/1/2016,96.5
10/1/2016,97.2
11/1/2016,97.6
12/1/2016,97.2
1/1/2017,97.1
2/1/2017,97.8
3/1/2017,97.6
4/1/2017,98.4
5/1/2017,98.8
6/1/2017,98.8
7/1/2017,99.8
8/1/2017,100.7
9/1/2017,100.3
10/1/2017,100.3
11/1/2017,103
12/1/2017,103
1/1/2018,100.9
2/1/2018,100
3/1/2018,100.5
4/1/2018,100.2
5/1/2018,101.4
6/1/2018,101.3
7/1/2018,99.9
8/1/2018,101.1
9/1/2018,100.4
10/1/2018,100.8
11/1/2018,99.3
12/1/2018,99.5
1/1/2019,100.5
2/1/2019,99.9
3/1/2019,100.1
4/1/2019,100
5/1/2019,100.4
6/1/2019,99.2
7/1/2019,99
8/1/2019,99.4
9/1/2019,99.3
10/1/2019,100
11/1/2019,98.6
12/1/2019,96.8
1/1/2020,99.4
2/1/2020,98.7
3/1/2020,87.4
4/1/2020,71.3
5/1/2020,81.1
6/1/2020,88.7
7/1/2020,92.9
8/1/2020,93.6
9/1/2020,94
10/1/2020,96.7
11/1/2020,99.5
12/1/2020,98.7
1/1/2021,100.3
2/1/2021,98.8
3/1/2021,100.2
4/1/2021,101.1
5/1/2021,99.6
6/1/2021,99.8
7/1/2021,101.2
8/1/2021,98.9
9/1/2021,98.9
10/1/2021,99.2
11/1/2021,100.1
12/1/2021,101.9
1/1/2022,101.2
2/1/2022,101.7
3/1/2022,100.1
4/1/2022,100.4
5/1/2022,102.4
6/1/2022,102.1
7/1/2022,100.4
8/1/2022,102.3
9/1/2022,103.5
10/1/2022,102.4
11/1/2022,103.1
12/1/2022,100.6
1/1/2023,102.3
2/1/2023,103.2
3/1/2023,100.7
4/1/2023,100.9
5/1/2023,101.2
6/1/2023,101.6
7/1/2023,98.9
8/1/2023,98.5
9/1/2023,98.3
10/1/2023,97.7
11/1/2023,99.1
12/1/2023,98.3
1/1/2024,97.2
2/1/2024,97.1
3/1/2024,97.4
4/1/2024,97.8
5/1/2024,96.5
6/1/2024,97.3
7/1/2024,96.7
8/1/2024,97.8
9/1/2024,96.4
10/1/2024,96.7
11/1/2024,97.1
12/1/2024,96.2
1/1/2025,96.8
2/1/2025,97.9
