date,label," Price Index for Consumer: Energy(electricity, heat, fuel) "
2015-01-03,6.71,
2015-01-10,7.13,
2015-01-17,6.8,
2015-01-24,7.08,
2015-01-31,6.95,
2015-02-07,7.63,
2015-02-14,7.32,
2015-02-21,7.1,
2015-02-28,6.8,
2015-03-07,6.46,100.49
2015-03-14,7.04,100.47114285714284
2015-03-21,6.76,100.45228571428572
2015-03-28,7.15,100.43342857142856
2015-04-04,6.94,100.41457142857142
2015-04-11,6.84,100.39571428571428
2015-04-18,7.28,100.37685714285712
2015-04-25,7.48,100.358
2015-05-02,7.53,100.33914285714285
2015-05-09,7.59,100.32028571428572
2015-05-16,7.3,100.30142857142856
2015-05-23,7.32,100.28257142857144
2015-05-30,7.4,100.26371428571429
2015-06-06,7.61,100.24485714285714
2015-06-13,7.41,100.226
2015-06-20,7.52,100.20714285714286
2015-06-27,7.42,100.18828571428573
2015-07-04,7.59,100.16942857142855
2015-07-11,7.72,100.15057142857142
2015-07-18,7.98,100.13171428571428
2015-07-25,7.85,100.11285714285714
2015-08-01,7.76,100.094
2015-08-08,8.3,100.07514285714284
2015-08-15,8.18,100.0562857142857
2015-08-22,8.09,100.03742857142856
2015-08-29,8.07,100.01857142857142
2015-09-05,8.24,99.99971428571428
2015-09-12,8.09,99.98085714285716
2015-09-19,7.98,99.962
2015-09-26,8.13,99.94314285714286
2015-10-03,8.33,99.92428571428572
2015-10-10,8.38,99.90542857142856
2015-10-17,8.62,99.88657142857144
2015-10-24,8.63,99.86771428571429
2015-10-31,8.4,99.84885714285714
2015-11-07,8.39,99.83
2015-11-14,8.51,99.7153846153846
2015-11-21,8.58,99.60076923076925
2015-11-28,8.52,99.48615384615384
2015-12-05,8.07,99.37153846153846
2015-12-12,8.06,99.25692307692309
2015-12-19,8.19,99.1423076923077
2015-12-26,8.22,99.0276923076923
2016-01-02,7.41,98.91307692307691
2016-01-09,6.67,98.79846153846154
2016-01-16,6.32,98.68384615384616
2016-01-23,6.04,98.56923076923076
2016-01-30,5.54,98.45461538461538
2016-02-06,5.05,98.34
2016-02-13,5.15,98.2253846153846
2016-02-20,4.98,98.11076923076922
2016-02-27,4.92,97.99615384615385
2016-03-05,4.98,97.88153846153844
2016-03-12,4.93,97.76692307692308
2016-03-19,4.84,97.65230769230767
2016-03-26,5.16,97.5376923076923
2016-04-02,5.41,97.42307692307692
