date,stoxx50
1/2/2020,3793.24
1/3/2020,3773.37
1/6/2020,3752.52
1/7/2020,3759.25
1/8/2020,3772.56
1/9/2020,3795.88
1/10/2020,3789.52
1/13/2020,3779.68
1/14/2020,3774.88
1/15/2020,3768.96
1/16/2020,3774.14
1/17/2020,3808.26
1/20/2020,3799.03
1/21/2020,3789.12
1/22/2020,3769.79
1/23/2020,3736.85
1/24/2020,3779.16
1/27/2020,3677.84
1/28/2020,3719.22
1/29/2020,3736.36
1/30/2020,3690.78
1/31/2020,3640.91
2/3/2020,3661.27
2/4/2020,3732.28
2/5/2020,3777.84
2/6/2020,3805.52
2/7/2020,3798.49
2/10/2020,3793.18
2/11/2020,3825.84
2/12/2020,3854.43
2/13/2020,3846.74
2/14/2020,3840.97
2/17/2020,3853.27
2/18/2020,3836.54
2/19/2020,3865.18
2/20/2020,3822.98
2/21/2020,3800.38
2/24/2020,3647.98
2/25/2020,3572.51
2/26/2020,3577.68
2/27/2020,3455.92
2/28/2020,3329.49
3/2/2020,3338.83
3/3/2020,3371.97
3/4/2020,3420.56
3/5/2020,3363.58
3/6/2020,3232.07
3/9/2020,2959.07
3/10/2020,2910.02
3/11/2020,2905.56
3/12/2020,2545.23
3/13/2020,2586.02
3/16/2020,2450.37
3/17/2020,2530.5
3/18/2020,2385.82
3/19/2020,2454.08
3/20/2020,2548.5
3/23/2020,2485.54
3/24/2020,2715.11
3/25/2020,2800.14
3/26/2020,2847.78
3/27/2020,2728.65
3/30/2020,2765.62
3/31/2020,2786.9
4/1/2020,2680.3
4/2/2020,2688.49
4/3/2020,2662.99
4/6/2020,2795.97
4/7/2020,2857.67
4/8/2020,2851.27
4/9/2020,2892.79
4/14/2020,2917.74
4/15/2020,2808.2
4/16/2020,2812.35
4/17/2020,2888.3
4/20/2020,2909.5
4/21/2020,2791.34
4/22/2020,2834.9
4/23/2020,2852.46
4/24/2020,2809.07
4/27/2020,2882.09
4/28/2020,2932.06
4/29/2020,2996.08
4/30/2020,2927.93
5/4/2020,2816.48
5/5/2020,2875.91
5/6/2020,2843.76
5/7/2020,2880.6
5/8/2020,2908.11
5/11/2020,2883.75
5/12/2020,2884.2
5/13/2020,2810.55
5/14/2020,2760.23
5/15/2020,2770.7
5/18/2020,2911.88
5/19/2020,2902.58
5/20/2020,2942.39
5/21/2020,2904.98
5/22/2020,2905.47
5/25/2020,2971.35
5/26/2020,2999.22
5/27/2020,3051.08
5/28/2020,3094.47
5/29/2020,3050.2
6/2/2020,3159.02
6/3/2020,3269.59
6/4/2020,3261.67
6/5/2020,3384.29
6/8/2020,3366.29
6/9/2020,3320.71
6/10/2020,3293.71
6/11/2020,3144.57
6/12/2020,3153.74
6/15/2020,3136.4
6/16/2020,3242.65
6/17/2020,3267.26
6/18/2020,3249.9
6/19/2020,3269.1
6/22/2020,3241.69
6/23/2020,3298.83
6/24/2020,3196.12
6/25/2020,3218.91
6/26/2020,3204.17
6/29/2020,3232.02
6/30/2020,3234.07
7/1/2020,3228.45
7/2/2020,3320.09
7/3/2020,3294.38
7/6/2020,3350.03
7/7/2020,3321.56
7/8/2020,3286.09
7/9/2020,3261.17
7/10/2020,3296.22
7/13/2020,3350
7/14/2020,3321.39
7/15/2020,3378.21
7/16/2020,3365.35
7/17/2020,3365.6
7/20/2020,3388.34
7/21/2020,3405.35
7/22/2020,3370.76
7/23/2020,3371.74
7/24/2020,3310.89
7/27/2020,3302.84
7/28/2020,3303.56
7/29/2020,3300.16
7/30/2020,3208.2
7/31/2020,3174.32
8/3/2020,3248.28
8/4/2020,3254.29
8/5/2020,3268.38
8/6/2020,3240.39
8/7/2020,3252.65
8/10/2020,3259.71
8/11/2020,3332.12
8/12/2020,3363.18
8/13/2020,3342.85
8/14/2020,3305.05
8/17/2020,3305.85
8/18/2020,3289.64
8/19/2020,3317.62
8/20/2020,3273.98
8/21/2020,3259.75
8/24/2020,3331.74
8/25/2020,3329.71
8/26/2020,3356.76
8/27/2020,3331.04
8/28/2020,3315.54
8/31/2020,3272.51
9/1/2020,3277.58
9/2/2020,3337.77
9/3/2020,3304.22
9/4/2020,3260.59
9/7/2020,3314.07
9/8/2020,3267.37
9/9/2020,3324.83
9/10/2020,3312.77
9/11/2020,3315.81
9/14/2020,3316.79
9/15/2020,3332.26
9/16/2020,3338.84
9/17/2020,3316.57
9/18/2020,3283.69
9/21/2020,3160.95
9/22/2020,3164.13
9/23/2020,3180.11
9/24/2020,3159.64
9/25/2020,3137.06
9/28/2020,3223.19
9/29/2020,3214.3
9/30/2020,3193.61
10/1/2020,3194.09
10/2/2020,3190.93
10/5/2020,3220.22
10/6/2020,3233.3
10/7/2020,3233.43
10/8/2020,3255.76
10/9/2020,3273.12
10/12/2020,3298.12
10/13/2020,3279.19
10/14/2020,3273.28
10/15/2020,3192.69
10/16/2020,3245.47
10/19/2020,3242.51
10/20/2020,3227.87
10/21/2020,3180.7
10/22/2020,3171.41
10/23/2020,3198.86
10/26/2020,3105.25
10/27/2020,3070.6
10/28/2020,2963.54
10/29/2020,2960.03
10/30/2020,2958.21
11/2/2020,3019.54
11/3/2020,3098.72
11/4/2020,3161.07
11/5/2020,3215.56
11/6/2020,3204.05
11/9/2020,3407.91
11/10/2020,3442.62
11/11/2020,3467.3
11/12/2020,3428.2
11/13/2020,3432.07
11/16/2020,3466.21
11/17/2020,3468.48
11/18/2020,3482.17
11/19/2020,3451.97
11/20/2020,3467.6
11/23/2020,3463.04
11/24/2020,3507.98
11/25/2020,3511.9
11/26/2020,3510.94
11/27/2020,3527.79
11/30/2020,3492.54
12/1/2020,3525.24
12/2/2020,3521.32
12/3/2020,3517.1
12/4/2020,3539.27
12/7/2020,3530.08
12/8/2020,3525.87
12/9/2020,3529.02
12/10/2020,3522.31
12/11/2020,3485.84
12/14/2020,3503.96
12/15/2020,3521.5
12/16/2020,3543
12/17/2020,3560.87
12/18/2020,3545.74
12/21/2020,3448.68
12/22/2020,3497.49
12/23/2020,3539.26
12/28/2020,3575.41
12/29/2020,3581.37
12/30/2020,3571.59
1/4/2021,3564.39
1/5/2021,3547.85
1/6/2021,3611.08
1/7/2021,3622.42
1/8/2021,3645.05
1/11/2021,3620.62
1/12/2021,3612.13
1/13/2021,3616.51
1/14/2021,3641.37
1/15/2021,3599.55
1/18/2021,3602.67
1/19/2021,3595.42
1/20/2021,3624.04
1/21/2021,3618.35
1/22/2021,3602.41
1/25/2021,3553.14
1/26/2021,3592.83
1/27/2021,3536.38
1/28/2021,3557.04
1/29/2021,3481.44
2/1/2021,3530.85
2/2/2021,3590.46
2/3/2021,3609.75
2/4/2021,3642.12
2/5/2021,3655.77
2/8/2021,3665.51
2/9/2021,3661.13
2/10/2021,3648.37
2/11/2021,3671.68
2/12/2021,3695.61
2/15/2021,3734.2
2/16/2021,3726.4
2/17/2021,3699.85
2/18/2021,3681.04
2/19/2021,3713.46
2/22/2021,3699.85
2/23/2021,3689.1
2/24/2021,3705.99
2/25/2021,3685.28
2/26/2021,3636.44
